policy,mean_lp_minus_hodl,mean_cum_fees,mean_n_rebalances,threshold,jensen_proxy
th_0.01,-939.3233590440319,46.06329982171315,174.9355,0.01,-985.3866588657451
th_0.031,-674.4155404304478,73.50931691450465,71.9155,0.030714285714285715,-747.9248573449524
th_0.051,-493.0256212038839,87.5581826139921,35.1695,0.05142857142857143,-580.583803817876
th_0.072,-402.9945945425131,92.09606577796177,20.7065,0.07214285714285713,-495.09066032047485
th_0.093,-353.009255186676,91.7075163472505,13.569,0.09285714285714285,-444.7167715339265
th_0.114,-313.87076556664493,90.09928568865831,9.4825,0.11357142857142856,-403.97005125530325
th_0.134,-281.84193837399454,87.64007857148353,6.9895,0.13428571428571429,-369.48201694547805
th_0.155,-253.14831762679282,84.29697174099672,5.2885,0.155,-337.44528936778954
th_0.176,-236.58110981600916,80.01145053605828,4.2475,0.1757142857142857,-316.59256035206744
th_0.196,-219.17487606030363,76.05303026163914,3.432,0.19642857142857142,-295.2279063219428
th_0.217,-202.51775435373042,72.30979208214866,2.7935,0.21714285714285714,-274.82754643587907
th_0.238,-189.84831678503275,68.96600677778223,2.3275,0.23785714285714285,-258.814323562815
th_0.259,-177.5118777877242,66.10151498144992,1.954,0.25857142857142856,-243.6133927691741
th_0.279,-170.67226441942773,63.13629572906376,1.674,0.27928571428571425,-233.8085601484915
th_0.3,-162.77935637055117,60.753656387518184,1.4355,0.3,-223.53301275806936
